nickname,content,ip_location,create_date_time
bank.usd,bro got a strong marketing team they allways come back,,2023-08-01 13:45:40
tupac1508,where is Bro training for,,2023-08-01 14:56:33
vsmanta,I swear I see this vid every 2 months,,2023-07-27 02:49:06
bambi2072,What is blud training for?,,2023-08-02 20:21:42
keldoryn,bro training to beat goku!,,2023-07-27 21:26:10
g_wickerrrs1,Same.,,2023-07-31 01:49:04
creative.caroline,They come back every year to haunt me ,,2023-09-12 04:01:02
exilebaco,When is he hitting flowing water state,,2023-07-27 08:10:47
darbauer1,I would love this kind of training,,2023-08-05 17:25:57
shortplan,episode 12: the ring,,2023-07-30 09:41:04
exilebaco,When is he hitting flowing water state,,2023-07-27 08:10:47
darbauer1,I would love this kind of training,,2023-08-05 17:25:57
shortplan,episode 12: the ring,,2023-07-30 09:41:04
krish748_,@sheeebz if I had to watch this so do you,,2023-07-31 11:40:58
mcbarboni,What is bro training for?,,2023-07-27 21:02:52
sunriseandsunset26,Bros the real master roshi,,2023-08-15 15:42:04
bakilacbongan,master wu,,2023-08-04 22:47:44
williedaviss,Is there someone living in your heart?,,2023-08-05 12:31:49
padraigbrady68,master Yu,,2023-08-02 10:35:36
leahmorales19684,damm gramps,,2023-08-17 17:57:12
user9386117404742,,,2023-07-27 03:24:06
user69420iol,@A • Following @ me know kung fu  ,,2023-07-30 16:20:49
levi02688,krilin and muten roshi,,2024-03-15 11:44:11
dentalworking,,,2023-07-27 13:03:20
alokhamil502,master roshi and krilin ,,2024-03-14 04:43:13
you_fav_shine_2005,,,2023-08-05 18:23:55
weiruvfnv8c,,,2023-07-28 01:53:11
yomenameischris,Now he's prepared to fight a beyblade,,2023-07-30 16:30:15
chinesekungfucollectiong,amazing,,2023-10-22 04:48:14
awkrrr,pov eimai stin toualeta me to laptop kai xezw gt to kinito den eixe mpataria kai vlepw auto!!!!!,,2023-08-01 09:07:57
spaiycoo1er,What’s the name of the last song?,,2023-08-04 08:07:46
royaltymuslim,bros master wu,,2023-08-05 01:30:27
swaymegood,Hellop,,2023-08-17 17:05:27
real_ahsan_khan00,fallow me gyssss,,2023-08-27 23:04:54
nahildaoussi,le boug ça fait 6 ans il tap la même barre et il a tjr pas compris comment faire,,2023-07-25 21:39:26
malfi44,Hab das Video jetzt schon öfter gesehen als meinen Vater ,,2023-07-22 12:26:07
liam_ravidat,tortue géniale ?,,2023-07-22 09:37:10
xskyletonx,ils on trop pris au sérieux le film karaté kid,,2023-07-24 01:57:11
j_skr_diaz,Écoute l’ancien,,2023-07-22 11:02:25
shinji.kyoya,Erinnert mich an meister shifu und tai lung,,2023-07-23 09:15:41
can_wick59,Ich will auch bei den Meister lernen.sifu,,2023-07-19 07:35:56
navu0009,弟子「ダルダルダル」,,2023-07-25 19:14:56
timeo_carnafish,Je regarde comme si j’entrais kung-fu du panda,,2023-07-22 09:01:59
gadtjptptwh,老人の介護は大変,,2023-07-26 01:58:30
iiiii___iiiiihgj,mistrz wu,,2023-07-24 21:15:12
claudiabeck071,und die chillen da in na wg oder wass,,2023-07-23 14:19:39
rldhr1,다른 멋있게 지는방법들 익히는 무술보다는 훨 멋있다,,2023-07-25 12:18:32
user9370681513439,무천도사와 크리링 ㅋㅋㅋㅋ,,2023-07-25 11:46:07
soy.moreno4,pero maestro Rossi que hace ahi,,2023-07-23 10:50:42
15channel,это понятно а что делать если мой соперник человек,,2023-07-27 09:10:00
gneiss32,弟子一気に師匠超えたやん,,2023-08-04 07:42:23
oskarhahd,każdy tak miał chociaż raz w zyxiu,,2023-07-24 20:02:43
bad.boy.lay07,မြန်မာcmရှာနေတာလား,,2023-06-22 13:35:21
ihji00,겨땀말리기,,2023-07-24 15:42:38
inasio_09,Máster Roshi?,,2023-07-22 13:05:07
leonidasleonidas777,,,2023-06-19 15:36:13
juanpbxz,"morri kakakakak, socorrer!☠️.",,2023-06-22 23:38:30
aemr_230810,Imaginate entrenar haci toda tu vida y que el rival saque un arma,,2023-07-01 15:52:30
juanpbxz,"morri kakakakak, socorrer!☠️.",,2023-06-22 23:38:30
aemr_230810,Imaginate entrenar haci toda tu vida y que el rival saque un arma,,2023-07-01 15:52:30
berkay.sgz,Wie Manuellsen trainiert hat,,2023-07-01 20:48:06
armandoprezmartne,yo sabiendo que eso talvez no tenga tanta efectividad pero la resistencia ☠️☠️,,2023-06-28 00:40:29
pinguinito090,Netero de la vida real,,2023-07-18 04:59:55
beksunlfqae,а что если противник не круглый?,,2023-06-24 09:25:17
marius47470,ça fait deux ans et il sait toujours pas faire se move,,2023-06-30 14:14:35
luca.ng,20 ans qu’ils postent la même vidéo c trop,,2023-06-21 20:23:12
yahya_435,,,2023-06-19 19:39:24
user4479112779483,не стоит температурить Джеки чан,,2023-07-02 04:43:05
asturies_51,tortue géniale,,2023-06-30 10:32:13
userp0n3l66h6z,弟子のほうが強そう,,2023-06-24 03:53:25
marvel.comic1,Krillin und Muten Roshi,,2023-06-30 10:16:21
furidxjsk,а если у противника травмат?,,2023-06-25 14:56:55
isdeones81,ele deve ser o protagonista e tá no time skip,,2023-07-01 17:16:52
elvinauchite,gente yo estoy un 1000 %de q es maestro Roshi ,,2023-06-26 02:27:01
artik_op,1 видео на весь тик ток,,2023-06-27 12:02:07
ikanbakaq,@p ,,2023-06-20 06:53:07
cine_blend_,"Yo:
Tu:",,2023-06-24 16:01:09
biednyfanninjago,Sensei Wu szkoli nowych ninja,,2023-06-29 11:40:29
bloodfox02,todo anokkkkk,,2023-06-30 14:24:30
lnel._,el maestro roshi xd,,2023-06-28 01:25:42
chuchuaalak,kungfu 20% makan 80%,,2023-06-19 11:42:27
user9363434055389,его на разборки не зовем,,2023-06-21 08:22:53
adrian7km,maestro Roshi,,2023-06-24 13:09:25
alisero21,Acı yok raki acı yok,,2023-06-20 07:13:52
emi_susx,yo practicando para pelear contra un circulo que rota sobre su propio eje,,2023-06-24 20:23:45
vladjacunjak2007,ти диви щей вимахується з рисом,,2023-06-30 08:20:02
notengofe,yo entreno kung fu,,2023-06-25 22:30:26
pedrospa5se,pra dps ele perder pro herói com o poder da amizade,,2023-07-02 05:18:14
monkey.d.ice0,ist das jetzt eigentlich ein intro von denen?,,2023-06-30 12:52:51
jostinronaldomoro,Me puede enseñar quiero aprender,,2023-06-21 01:32:05
minhducc2008,tập thì ít nhậu thì nhiều,,2023-06-25 02:18:42
serasandoval15,el mastro roshi entrenando ha krilin ,,2023-06-21 10:55:54
omaar___h,El maestro Roshi murió si no me equivoco,,2023-06-22 16:16:14
just_manufr,porque siempre que veo este tipo de videos el bro falla con lo del arroz xd,,2023-06-23 00:04:24
mdxxxx_,Je suis le commentaire francais que tu recherche,,2023-06-21 03:43:44
alemao.zxz,eles estão no timeskip,,2023-06-30 14:24:15
revalsukadurian,kung Fu : kecepatan adalah pemenangnya,,2023-06-19 17:16:03
heheboy54th,Ninjago next génération,,2023-06-23 13:29:43
aungkaunghtet520,စားစရာရှိတာစားပါကွာဘာအပိုတွေလျှောက်လုပ်,,2023-06-23 07:46:17
riandkka,patuhi ao,,2023-06-19 15:25:08
mariodelacruzarz,le dió el arroz en un tazon roto por eso se encobrono Roshi,,2023-06-24 16:12:24
senshi.terarria,шадоу файт на минималках,,2023-06-22 16:16:31
takalways_ea540,kakek nya mirip di logo minuman OT,,2023-06-19 03:17:50
